year,co2_per_capita
1860,0.216
1861,0.377
1862,0.253
1863,0.276
1864,0.18
1865,0.275
1866,0.442
1867,0.551
1868,0.439
1869,0.374
1870,0.342
1871,0.384
1872,0.384
1873,0.461
1874,0.463
1875,0.422
1876,0.464
1877,0.52
1878,0.462
1879,0.679
1880,1.002
1881,0.779
1882,0.86
1883,1.001
1884,1.026
1885,1.12
1886,1.075
1887,1.091
1888,1.226
1889,1.154
1890,1.162
1891,1.282
1892,1.299
1893,1.218
1894,1.316
1895,1.36
1896,1.31
1897,1.421
1898,1.574
1899,1.594
1900,2.753
1901,3.046
1902,2.986
1903,2.895
1904,2.934
1905,3.015
1906,3.538
1907,3.755
1908,4.003
1909,3.42
1910,4.028
1911,4.364
1912,4.625
1913,4.883
1914,5.233
1915,4.566
1916,3.958
1917,4.179
1918,4.525
1919,4.203
1920,4.879
1921,4.305
1922,4.441
1923,4.449
1924,4.756
1925,4.868
1926,4.712
1927,4.797
1928,4.283
1929,3.79
1930,3.478
1931,3.048
1932,3.139
1933,3.302
1934,3.443
1935,3.795
1936,4.034
1937,4.267
1938,4.111
1939,4.666
1940,4.167
1941,4.893
1942,5.096
1943,4.807
1944,4.625
1945,4.35
1946,4.637
1947,4.898
1948,4.871
1949,4.691
1950,6.694
1951,7.029
1952,7.004
1953,6.768
1954,7.563
1955,7.711
1956,7.792
1957,7.772
1958,7.912
1959,8.347
1960,8.604
1961,8.664
1962,8.909
1963,9.307
1964,9.839
1965,10.682
1966,10.37
1967,10.853
1968,11.01
1969,11.353
1970,11.528
1971,11.711
1972,11.88
1973,12.718
1974,12.656
1975,12.758
1976,12.492
1977,13.313
1978,14.164
1979,14.215
1980,15.117
1981,15.574
1982,15.615
1983,14.794
1984,15.326
1985,15.386
1986,15.061
1987,15.81
1988,15.858
1989,16.603
1990,16.471
1991,16.398
1992,16.454
1993,16.55
1994,16.86
1995,17.119
1996,17.391
1997,17.79
1998,18.222
1999,18.448
2000,18.525
2001,18.779
2002,18.922
2003,19.019
2004,19.455
2005,19.209
2006,19.355
2007,19.216
2008,19.203
2009,18.451
2010,18.26
2011,17.985
2012,17.581
2013,16.907
2014,16.92
2015,16.851
2016,17.143
2017,16.87
2018,16.708
2019,16.447
2020,15.368
