Year,USD_Barrel
Jan-00,25.56
Feb-00,28.28
Mar-00,31.71
Apr-00,26.28
May-00,26.86
Jun-00,30.19
Jul-00,30.19
Aug-00,27.85
Sep-00,33.92
Oct-00,32.05
Nov-00,33.14
Dec-00,27.29
Jan-01,29.88
Feb-01,27.78
Mar-01,26.65
Apr-01,28.37
May-01,27.88
Jun-01,26.02
Jul-01,26.83
Aug-01,26.94
Sep-01,23.12
Oct-01,20.47
Nov-01,20.27
Dec-01,21.13
Jan-02,20.4
Feb-02,22.37
Mar-02,26.82
Apr-02,26.58
May-02,25.02
Jun-02,26.79
Jul-02,26.51
Aug-02,27.76
Sep-02,30.71
Oct-02,27.04
Nov-02,27.27
Dec-02,31.97
Jan-03,32.84
Feb-03,36.1
Mar-03,29.48
Apr-03,26.05
May-03,30.72
Jun-03,30.41
Jul-03,32.23
Aug-03,29.57
Sep-03,29.43
Oct-03,28.81
Nov-03,29.89
Dec-03,33.71
Jan-04,34.02
Feb-04,36.85
Mar-04,34.47
Apr-04,38.26
May-04,42.33
Jun-04,38.56
Jul-04,43.83
Aug-04,43.89
Sep-04,50.16
Oct-04,50.1
Nov-04,45.56
Dec-04,42.16
Jan-05,43.96
Feb-05,47.1
Mar-05,51.67
Apr-05,57.26
May-05,50.94
Jun-05,54.4
Jul-05,59.11
Aug-05,61.51
Sep-05,69.5
Oct-05,65.36
Nov-05,59.85
Dec-05,58.46
Jan-06,63.11
Feb-06,66.61
Mar-06,62.01
Apr-06,66.07
May-06,73.75
Jun-06,70.11
Jul-06,75.2
Aug-06,74.93
Sep-06,69.24
Oct-06,60.96
Nov-06,58.64
Dec-06,63.43
Jan-07,60.77
Feb-07,57.35
Mar-07,61.97
Apr-07,66.03
May-07,64.43
Jun-07,65.09
Jul-07,71.41
Aug-07,76.49
Sep-07,75.07
Oct-07,80.31
Nov-07,93.53
Dec-07,89.29
Jan-08,99.64
Feb-08,89.03
Mar-08,102.42
Apr-08,100.92
May-08,112.6
Jun-08,127.75
Jul-08,141.06
Aug-08,125.03
Sep-08,109.63
Oct-08,98.23
Nov-08,63.93
Dec-08,49.34
Jan-09,46.17
Feb-09,41.35
Mar-09,40.07
Apr-09,48.46
May-09,52.18
